user_id,month,plan,monthly_price,payment_status,amount_paid,is_active
user_0000,1,basic,9.99,paid,9.99,True
user_0000,2,basic,9.99,paid,9.99,True
user_0000,3,basic,9.99,paid,9.99,True
user_0000,4,basic,9.99,paid,9.99,True
user_0000,5,basic,9.99,paid,9.99,True
user_0000,6,basic,9.99,paid,9.99,True
user_0000,7,basic,9.99,paid,9.99,True
user_0000,8,basic,9.99,failed,0.0,False
user_0001,1,premium,19.99,paid,19.99,True
user_0001,2,premium,19.99,paid,19.99,True
user_0001,3,premium,19.99,paid,19.99,True
user_0001,4,premium,19.99,paid,19.99,True
user_0001,5,premium,19.99,paid,19.99,True
user_0001,6,premium,19.99,paid,19.99,True
user_0001,7,premium,19.99,paid,19.99,True
user_0001,8,premium,19.99,paid,19.99,True
user_0001,9,premium,19.99,paid,19.99,True
user_0001,10,premium,19.99,paid,19.99,True
user_0001,11,premium,19.99,paid,19.99,True
user_0001,12,premium,19.99,paid,19.99,True
user_0002,1,premium,19.99,paid,19.99,True
user_0002,2,premium,19.99,paid,19.99,True
user_0002,3,premium,19.99,paid,19.99,True
user_0002,4,premium,19.99,paid,19.99,True
user_0002,5,premium,19.99,paid,19.99,True
user_0002,6,premium,19.99,paid,19.99,True
user_0002,7,premium,19.99,paid,19.99,True
user_0002,8,premium,19.99,paid,19.99,True
user_0002,9,premium,19.99,paid,19.99,True
user_0002,10,premium,19.99,paid,19.99,True
user_0002,11,premium,19.99,paid,19.99,True
user_0002,12,premium,19.99,paid,19.99,True
user_0003,1,basic,9.99,paid,9.99,True
user_0003,2,basic,9.99,paid,9.99,True
user_0003,3,basic,9.99,paid,9.99,True
user_0003,4,basic,9.99,paid,9.99,True
user_0003,5,basic,9.99,paid,9.99,True
user_0003,6,basic,9.99,paid,9.99,True
user_0003,7,basic,9.99,paid,9.99,True
user_0003,8,basic,9.99,paid,9.99,True
user_0003,9,basic,9.99,paid,9.99,True
user_0003,10,basic,9.99,paid,9.99,True
user_0003,11,basic,9.99,paid,9.99,True
user_0003,12,basic,9.99,paid,9.99,True
user_0004,1,basic,9.99,paid,9.99,True
user_0004,2,basic,9.99,paid,9.99,True
user_0004,3,basic,9.99,paid,9.99,True
user_0004,4,basic,9.99,paid,9.99,True
user_0004,5,basic,9.99,paid,9.99,True
user_0004,6,basic,9.99,paid,9.99,True
user_0004,7,basic,9.99,paid,9.99,True
user_0004,8,basic,9.99,paid,9.99,True
user_0004,9,basic,9.99,paid,9.99,True
user_0004,10,basic,9.99,paid,9.99,True
user_0004,11,basic,9.99,paid,9.99,True
user_0004,12,basic,9.99,paid,9.99,True
user_0005,1,basic,9.99,paid,9.99,True
user_0005,2,basic,9.99,paid,9.99,True
user_0005,3,basic,9.99,paid,9.99,True
user_0005,4,basic,9.99,paid,9.99,True
user_0005,5,basic,9.99,paid,9.99,True
user_0005,6,basic,9.99,paid,9.99,True
user_0005,7,basic,9.99,paid,9.99,True
user_0005,8,basic,9.99,paid,9.99,True
user_0005,9,basic,9.99,paid,9.99,True
user_0005,10,basic,9.99,paid,9.99,True
user_0005,11,basic,9.99,paid,9.99,True
user_0005,12,basic,9.99,paid,9.99,True
user_0006,1,basic,9.99,paid,9.99,True
user_0006,2,basic,9.99,paid,9.99,True
user_0006,3,basic,9.99,paid,9.99,True
user_0006,4,basic,9.99,paid,9.99,True
user_0006,5,basic,9.99,paid,9.99,True
user_0006,6,basic,9.99,paid,9.99,True
user_0006,7,basic,9.99,paid,9.99,True
user_0006,8,basic,9.99,paid,9.99,True
user_0006,9,basic,9.99,paid,9.99,True
user_0006,10,basic,9.99,paid,9.99,True
user_0006,11,basic,9.99,failed,0.0,False
user_0007,1,premium,19.99,paid,19.99,True
user_0007,2,premium,19.99,failed,0.0,True
user_0007,3,premium,19.99,paid,19.99,True
user_0007,4,premium,19.99,failed,0.0,False
user_0008,1,premium,19.99,paid,19.99,True
user_0008,2,premium,19.99,paid,19.99,True
user_0008,3,premium,19.99,failed,0.0,False
user_0009,1,premium,19.99,paid,19.99,True
user_0009,2,premium,19.99,paid,19.99,True
user_0009,3,premium,19.99,paid,19.99,True
user_0009,4,premium,19.99,failed,0.0,False
user_0010,1,basic,9.99,paid,9.99,True
user_0010,2,basic,9.99,paid,9.99,True
user_0010,3,basic,9.99,failed,0.0,False
user_0011,1,premium,19.99,paid,19.99,True
user_0011,2,premium,19.99,paid,19.99,True
user_0011,3,premium,19.99,failed,0.0,False
user_0012,1,premium,19.99,paid,19.99,True
user_0012,2,premium,19.99,paid,19.99,True
user_0012,3,premium,19.99,paid,19.99,True
user_0012,4,premium,19.99,paid,19.99,True
user_0012,5,premium,19.99,paid,19.99,True
user_0012,6,premium,19.99,paid,19.99,True
user_0012,7,premium,19.99,paid,19.99,True
user_0012,8,premium,19.99,paid,19.99,True
user_0012,9,premium,19.99,paid,19.99,True
user_0012,10,premium,19.99,paid,19.99,True
user_0012,11,premium,19.99,paid,19.99,True
user_0012,12,premium,19.99,paid,19.99,True
user_0013,1,basic,9.99,paid,9.99,True
user_0013,2,basic,9.99,failed,0.0,False
user_0014,1,basic,9.99,paid,9.99,True
user_0014,2,basic,9.99,paid,9.99,True
user_0014,3,basic,9.99,paid,9.99,True
user_0014,4,basic,9.99,paid,9.99,True
user_0014,5,basic,9.99,paid,9.99,True
user_0014,6,basic,9.99,paid,9.99,True
user_0014,7,basic,9.99,paid,9.99,True
user_0014,8,basic,9.99,paid,9.99,True
user_0014,9,basic,9.99,paid,9.99,True
user_0014,10,basic,9.99,paid,9.99,True
user_0014,11,basic,9.99,paid,9.99,True
user_0014,12,basic,9.99,paid,9.99,True
user_0015,1,basic,9.99,paid,9.99,True
user_0015,2,basic,9.99,paid,9.99,True
user_0015,3,basic,9.99,paid,9.99,True
user_0015,4,basic,9.99,paid,9.99,True
user_0015,5,basic,9.99,paid,9.99,True
user_0015,6,basic,9.99,paid,9.99,True
user_0015,7,basic,9.99,paid,9.99,True
user_0015,8,basic,9.99,paid,9.99,True
user_0015,9,basic,9.99,paid,9.99,True
user_0015,10,basic,9.99,paid,9.99,True
user_0015,11,basic,9.99,failed,0.0,False
user_0016,1,basic,9.99,paid,9.99,True
user_0016,2,basic,9.99,paid,9.99,True
user_0016,3,basic,9.99,paid,9.99,True
user_0016,4,basic,9.99,paid,9.99,True
user_0016,5,basic,9.99,paid,9.99,True
user_0016,6,basic,9.99,failed,0.0,False
user_0017,1,basic,9.99,paid,9.99,True
user_0017,2,basic,9.99,paid,9.99,True
user_0017,3,basic,9.99,paid,9.99,True
user_0017,4,basic,9.99,paid,9.99,True
user_0017,5,basic,9.99,paid,9.99,True
user_0017,6,basic,9.99,paid,9.99,True
user_0017,7,basic,9.99,paid,9.99,True
user_0017,8,basic,9.99,paid,9.99,True
user_0017,9,basic,9.99,paid,9.99,True
user_0017,10,basic,9.99,paid,9.99,True
user_0017,11,basic,9.99,paid,9.99,True
user_0017,12,basic,9.99,paid,9.99,True
user_0018,1,basic,9.99,paid,9.99,True
user_0018,2,basic,9.99,paid,9.99,True
user_0018,3,basic,9.99,failed,0.0,False
user_0019,1,basic,9.99,paid,9.99,True
user_0019,2,basic,9.99,failed,0.0,False
user_0020,1,premium,19.99,paid,19.99,True
user_0020,2,premium,19.99,paid,19.99,True
user_0020,3,premium,19.99,failed,0.0,True
user_0020,4,premium,19.99,failed,0.0,True
user_0020,5,premium,19.99,paid,19.99,True
user_0020,6,premium,19.99,paid,19.99,True
user_0020,7,premium,19.99,paid,19.99,True
user_0020,8,premium,19.99,paid,19.99,True
user_0020,9,premium,19.99,paid,19.99,True
user_0020,10,premium,19.99,paid,19.99,True
user_0020,11,premium,19.99,paid,19.99,True
user_0020,12,premium,19.99,paid,19.99,True
user_0021,1,basic,9.99,failed,0.0,True
user_0021,2,basic,9.99,paid,9.99,True
user_0021,3,basic,9.99,paid,9.99,True
user_0021,4,basic,9.99,paid,9.99,True
user_0021,5,basic,9.99,paid,9.99,True
user_0021,6,basic,9.99,paid,9.99,True
user_0021,7,basic,9.99,paid,9.99,True
user_0021,8,basic,9.99,paid,9.99,True
user_0021,9,basic,9.99,paid,9.99,True
user_0021,10,basic,9.99,paid,9.99,True
user_0021,11,basic,9.99,failed,0.0,False
user_0022,1,basic,9.99,paid,9.99,True
user_0022,2,basic,9.99,paid,9.99,True
user_0022,3,basic,9.99,paid,9.99,True
user_0022,4,basic,9.99,paid,9.99,True
user_0022,5,basic,9.99,paid,9.99,True
user_0022,6,basic,9.99,paid,9.99,True
user_0022,7,basic,9.99,failed,0.0,True
user_0022,8,basic,9.99,paid,9.99,True
user_0022,9,basic,9.99,paid,9.99,True
user_0022,10,basic,9.99,paid,9.99,True
user_0022,11,basic,9.99,failed,0.0,True
user_0022,12,basic,9.99,paid,9.99,True
user_0023,1,basic,9.99,paid,9.99,True
user_0023,2,basic,9.99,paid,9.99,True
user_0023,3,basic,9.99,failed,0.0,False
user_0024,1,basic,9.99,paid,9.99,True
user_0024,2,basic,9.99,paid,9.99,True
user_0024,3,basic,9.99,paid,9.99,True
user_0024,4,basic,9.99,failed,0.0,False
user_0025,1,premium,19.99,paid,19.99,True
user_0025,2,premium,19.99,paid,19.99,True
user_0025,3,premium,19.99,paid,19.99,True
user_0025,4,premium,19.99,paid,19.99,True
user_0025,5,premium,19.99,paid,19.99,True
user_0025,6,premium,19.99,paid,19.99,True
user_0025,7,premium,19.99,paid,19.99,True
user_0025,8,premium,19.99,paid,19.99,True
user_0025,9,premium,19.99,paid,19.99,True
user_0025,10,premium,19.99,paid,19.99,True
user_0025,11,premium,19.99,paid,19.99,True
user_0025,12,premium,19.99,paid,19.99,True
user_0026,1,basic,9.99,paid,9.99,True
user_0026,2,basic,9.99,paid,9.99,True
user_0026,3,basic,9.99,paid,9.99,True
user_0026,4,basic,9.99,paid,9.99,True
user_0026,5,basic,9.99,paid,9.99,True
user_0026,6,basic,9.99,paid,9.99,True
user_0026,7,basic,9.99,paid,9.99,True
user_0026,8,basic,9.99,failed,0.0,False
user_0027,1,basic,9.99,paid,9.99,True
user_0027,2,basic,9.99,paid,9.99,True
user_0027,3,basic,9.99,paid,9.99,True
user_0027,4,basic,9.99,failed,0.0,True
user_0027,5,basic,9.99,paid,9.99,True
user_0027,6,basic,9.99,paid,9.99,True
user_0027,7,basic,9.99,paid,9.99,True
user_0027,8,basic,9.99,paid,9.99,True
user_0027,9,basic,9.99,paid,9.99,True
user_0027,10,basic,9.99,paid,9.99,True
user_0027,11,basic,9.99,paid,9.99,True
user_0027,12,basic,9.99,paid,9.99,True
user_0028,1,basic,9.99,paid,9.99,True
user_0028,2,basic,9.99,paid,9.99,True
user_0028,3,basic,9.99,paid,9.99,True
user_0028,4,basic,9.99,paid,9.99,True
user_0028,5,basic,9.99,paid,9.99,True
